date,vix,vix3m,ratio,contango_status,skew,skew_alert,next_adjustment_date,days_to_adjustment
2025-11-21,23.43,23.96,1.023,コンタンゴ(順鞘),148.34,警戒(144超),2025-12-10,19
2025-11-24,20.52,21.85,1.065,コンタンゴ(順鞘),148.60,警戒(144超),2025-12-10,16
2025-11-25,18.56,20.73,1.117,コンタンゴ(順鞘),151.68,警戒(144超),2025-12-10,15
2025-11-26,17.19,20.02,1.165,コンタンゴ(順鞘),145.04,警戒(144超),2025-12-10,14
2025-11-28,16.35,19.64,1.201,コンタンゴ(順鞘),143.00,注意(140超),2025-12-10,12
2025-12-01,17.24,20.22,1.173,コンタンゴ(順鞘),144.86,警戒(144超),2025-12-10,9
2025-12-02,16.59,19.84,1.196,コンタンゴ(順鞘),144.94,警戒(144超),2025-12-10,8
2025-12-03,16.08,19.71,1.226,コンタンゴ(順鞘),149.23,警戒(144超),2025-12-10,7
2025-12-04,15.78,19.49,1.235,コンタンゴ(順鞘),148.91,警戒(144超),2025-12-10,6
2025-12-05,15.41,19.27,1.250,コンタンゴ(順鞘),148.83,警戒(144超),2025-12-10,5
2025-12-08,16.66,19.91,1.195,コンタンゴ(順鞘),150.63,警戒(144超),2025-12-10,2
2025-12-09,16.93,20.08,1.186,コンタンゴ(順鞘),150.32,警戒(144超),2025-12-10,1
2025-12-10,15.77,19.35,1.227,コンタンゴ(順鞘),147.55,警戒(144超),2025-12-10,0
2025-12-11,14.85,19.05,1.283,コンタンゴ(順鞘),148.32,警戒(144超),2026-01-14,34
2025-12-12,15.74,19.25,1.223,コンタンゴ(順鞘),153.59,警戒(144超),2026-01-14,33
2025-12-15,16.50,19.68,1.193,コンタンゴ(順鞘),161.86,警戒(144超),2026-01-14,30
2025-12-16,16.48,19.67,1.194,コンタンゴ(順鞘),156.99,警戒(144超),2026-01-14,29
2025-12-17,17.62,20.08,1.140,コンタンゴ(順鞘),153.49,警戒(144超),2026-01-14,28
2025-12-18,16.87,19.59,1.161,コンタンゴ(順鞘),155.38,警戒(144超),2026-01-14,27
2025-12-19,14.91,18.25,1.224,コンタンゴ(順鞘),155.87,警戒(144超),2026-01-14,26
2025-12-22,14.08,17.79,1.263,コンタンゴ(順鞘),159.93,警戒(144超),2026-01-14,23
2025-12-23,14.00,17.84,1.274,コンタンゴ(順鞘),160.53,警戒(144超),2026-01-14,22
2025-12-24,13.47,17.77,1.319,コンタンゴ(順鞘),161.30,警戒(144超),2026-01-14,21
2025-12-26,13.60,17.77,1.307,コンタンゴ(順鞘),151.45,警戒(144超),2026-01-14,19
2025-12-29,14.20,17.82,1.255,コンタンゴ(順鞘),150.47,警戒(144超),2026-01-14,16
2025-12-30,14.33,17.77,1.240,コンタンゴ(順鞘),148.33,警戒(144超),2026-01-14,15
2025-12-31,14.95,18.18,1.216,コンタンゴ(順鞘),148.70,警戒(144超),2026-01-14,14
2026-01-02,14.51,18.02,1.242,コンタンゴ(順鞘),141.86,注意(140超),2026-01-14,12
2026-01-05,14.90,18.32,1.230,コンタンゴ(順鞘),142.45,注意(140超),2026-01-14,9
2026-01-06,14.75,18.15,1.231,コンタンゴ(順鞘),146.23,警戒(144超),2026-01-14,8
2026-01-07,15.38,18.59,1.209,コンタンゴ(順鞘),143.57,注意(140超),2026-01-14,7
2026-01-08,15.45,18.39,1.190,コンタンゴ(順鞘),147.08,警戒(144超),2026-01-14,6
2026-01-09,14.49,17.88,1.234,コンタンゴ(順鞘),146.04,警戒(144超),2026-01-14,5
2026-01-12,15.12,18.23,1.206,コンタンゴ(順鞘),149.75,警戒(144超),2026-01-14,2
2026-01-13,15.98,18.85,1.180,コンタンゴ(順鞘),151.60,警戒(144超),2026-01-14,1
2026-01-14,16.75,19.37,1.156,コンタンゴ(順鞘),152.52,警戒(144超),2026-01-14,0
2026-01-15,15.84,18.90,1.193,コンタンゴ(順鞘),151.57,警戒(144超),2026-02-11,27
2026-01-16,15.86,18.99,1.197,コンタンゴ(順鞘),153.59,警戒(144超),2026-02-11,26
2026-01-20,20.09,21.28,1.059,コンタンゴ(順鞘),154.96,警戒(144超),2026-02-11,22
2026-01-21,16.90,19.36,1.146,コンタンゴ(順鞘),144.41,警戒(144超),2026-02-11,21
2026-01-22,15.64,18.75,1.199,コンタンゴ(順鞘),141.31,注意(140超),2026-02-11,20
2026-01-23,16.09,19.15,1.190,コンタンゴ(順鞘),144.02,警戒(144超),2026-02-11,19
2026-01-26,16.15,19.07,1.181,コンタンゴ(順鞘),148.10,警戒(144超),2026-02-11,16
2026-01-27,16.35,19.22,1.176,コンタンゴ(順鞘),147.25,警戒(144超),2026-02-11,15
2026-01-28,16.35,19.30,1.180,コンタンゴ(順鞘),144.98,警戒(144超),2026-02-11,14
2026-01-29,16.88,19.67,1.165,コンタンゴ(順鞘),143.74,注意(140超),2026-02-11,13
2026-01-30,17.44,20.07,1.151,コンタンゴ(順鞘),143.65,注意(140超),2026-02-11,12
2026-02-02,16.34,19.37,1.185,コンタンゴ(順鞘),146.56,警戒(144超),2026-02-11,9
2026-02-03,18.00,20.35,1.131,コンタンゴ(順鞘),143.85,注意(140超),2026-02-11,8
2026-02-04,18.64,20.62,1.106,コンタンゴ(順鞘),143.16,注意(140超),2026-02-11,7
2026-02-05,21.77,22.45,1.031,コンタンゴ(順鞘),137.16,通常,2026-02-11,6
2026-02-06,17.76,20.37,1.147,コンタンゴ(順鞘),140.31,注意(140超),2026-02-11,5
2026-02-09,17.36,20.09,1.157,コンタンゴ(順鞘),145.23,警戒(144超),2026-02-11,2
2026-02-10,17.79,20.43,1.148,コンタンゴ(順鞘),145.71,警戒(144超),2026-02-11,1
2026-02-11,17.65,20.37,1.154,コンタンゴ(順鞘),143.78,注意(140超),2026-02-11,0
2026-02-12,20.82,22.17,1.065,コンタンゴ(順鞘),142.50,注意(140超),2026-03-11,27
2026-02-13,20.60,22.17,1.076,コンタンゴ(順鞘),139.35,通常,2026-03-11,26
2026-02-17,20.29,21.60,1.065,コンタンゴ(順鞘),140.28,注意(140超),2026-03-11,22
2026-02-18,19.62,21.39,1.090,コンタンゴ(順鞘),139.17,通常,2026-03-11,21
2026-02-19,20.23,21.88,1.082,コンタンゴ(順鞘),141.19,注意(140超),2026-03-11,20
2026-02-20,19.09,21.09,1.105,コンタンゴ(順鞘),145.52,警戒(144超),2026-03-11,19
2026-02-23,21.01,22.14,1.054,コンタンゴ(順鞘),141.43,注意(140超),2026-03-11,16
2026-02-24,19.55,21.34,1.092,コンタンゴ(順鞘),141.94,注意(140超),2026-03-11,15
2026-02-25,17.93,20.36,1.136,コンタンゴ(順鞘),146.05,警戒(144超),2026-03-11,14
2026-02-26,18.63,20.81,1.117,コンタンゴ(順鞘),146.57,警戒(144超),2026-03-11,13
2026-02-27,19.86,21.56,1.086,コンタンゴ(順鞘),146.67,警戒(144超),2026-03-11,12
2026-03-02,21.44,22.44,1.047,コンタンゴ(順鞘),151.78,警戒(144超),2026-03-11,9
2026-03-03,23.57,23.54,0.999,バックワーデーション(逆鞘・警戒),152.83,警戒(144超),2026-03-11,8
2026-03-04,21.15,22.29,1.054,コンタンゴ(順鞘),152.87,警戒(144超),2026-03-11,7
2026-03-05,23.75,23.86,1.005,コンタンゴ(順鞘),153.95,警戒(144超),2026-03-11,6
2026-03-06,29.49,27.56,0.935,バックワーデーション(逆鞘・警戒),151.80,警戒(144超),2026-03-11,5
2026-03-09,25.50,25.34,0.994,バックワーデーション(逆鞘・警戒),157.98,警戒(144超),2026-03-11,2
2026-03-10,24.93,25.51,1.023,コンタンゴ(順鞘),154.46,警戒(144超),2026-03-11,1
2026-03-11,24.23,24.97,1.031,コンタンゴ(順鞘),152.44,警戒(144超),2026-03-11,0
2026-03-12,27.29,26.95,0.988,バックワーデーション(逆鞘・警戒),139.94,通常,2026-04-08,27
2026-03-13,27.19,27.28,1.003,コンタンゴ(順鞘),137.76,通常,2026-04-08,26
2026-03-16,23.51,24.92,1.060,コンタンゴ(順鞘),141.49,注意(140超),2026-04-08,23
2026-03-17,22.37,24.33,1.088,コンタンゴ(順鞘),145.04,警戒(144超),2026-04-08,22
2026-03-18,25.09,26.56,1.059,コンタンゴ(順鞘),136.54,通常,2026-04-08,21
2026-03-19,24.06,25.54,1.062,コンタンゴ(順鞘),138.26,通常,2026-04-08,20
2026-03-20,26.78,27.43,1.024,コンタンゴ(順鞘),139.12,通常,2026-04-08,19
2026-03-23,26.15,26.10,0.998,バックワーデーション(逆鞘・警戒),142.02,注意(140超),2026-04-08,16
2026-03-24,26.95,26.56,0.986,バックワーデーション(逆鞘・警戒),142.63,注意(140超),2026-04-08,15
2026-03-25,25.33,25.63,1.012,コンタンゴ(順鞘),140.88,注意(140超),2026-04-08,14
2026-03-26,27.44,27.16,0.990,バックワーデーション(逆鞘・警戒),143.99,注意(140超),2026-04-08,13
2026-03-27,31.05,29.27,0.943,バックワーデーション(逆鞘・警戒),139.00,通常,2026-04-08,12
2026-03-30,30.61,29.13,0.952,バックワーデーション(逆鞘・警戒),142.23,注意(140超),2026-04-08,9
2026-03-31,25.25,25.55,1.012,コンタンゴ(順鞘),145.45,警戒(144超),2026-04-08,8
2026-04-01,24.54,24.86,1.013,コンタンゴ(順鞘),143.77,注意(140超),2026-04-08,7
2026-04-02,23.87,24.72,1.036,コンタンゴ(順鞘),146.95,警戒(144超),2026-04-08,6
2026-04-06,24.17,24.77,1.025,コンタンゴ(順鞘),147.60,警戒(144超),2026-04-08,2
2026-04-07,25.78,25.57,0.992,バックワーデーション(逆鞘・警戒),148.45,警戒(144超),2026-04-08,1
2026-04-08,21.04,22.68,1.078,コンタンゴ(順鞘),150.36,警戒(144超),2026-04-08,0
2026-04-09,19.49,21.81,1.119,コンタンゴ(順鞘),143.27,注意(140超),2026-05-13,34
2026-04-10,19.23,21.86,1.137,コンタンゴ(順鞘),144.18,警戒(144超),2026-05-13,33
2026-04-13,19.12,21.34,1.116,コンタンゴ(順鞘),156.93,警戒(144超),2026-05-13,30
2026-04-14,18.36,20.82,1.134,コンタンゴ(順鞘),149.94,警戒(144超),2026-05-13,29
2026-04-15,18.17,20.78,1.144,コンタンゴ(順鞘),139.23,通常,2026-05-13,28
2026-04-16,17.94,20.77,1.158,コンタンゴ(順鞘),140.74,注意(140超),2026-05-13,27
2026-04-17,17.48,20.51,1.173,コンタンゴ(順鞘),141.82,注意(140超),2026-05-13,26
2026-04-20,18.87,21.24,1.126,コンタンゴ(順鞘),141.90,注意(140超),2026-05-13,23
2026-04-21,19.50,21.51,1.103,コンタンゴ(順鞘),140.91,注意(140超),2026-05-13,22
2026-04-22,18.92,21.24,1.123,コンタンゴ(順鞘),140.84,注意(140超),2026-05-13,21
2026-04-23,19.31,21.48,1.112,コンタンゴ(順鞘),139.59,通常,2026-05-13,20
2026-04-24,18.71,21.30,1.138,コンタンゴ(順鞘),139.08,通常,2026-05-13,19
2026-04-27,18.02,20.77,1.153,コンタンゴ(順鞘),139.64,通常,2026-05-13,16
2026-04-28,17.83,20.49,1.149,コンタンゴ(順鞘),138.16,通常,2026-05-13,15
2026-04-29,18.81,21.19,1.127,コンタンゴ(順鞘),141.88,注意(140超),2026-05-13,14
2026-04-30,16.89,20.08,1.189,コンタンゴ(順鞘),143.33,注意(140超),2026-05-13,13
2026-05-01,16.99,20.37,1.199,コンタンゴ(順鞘),141.38,注意(140超),2026-05-13,12
2026-05-04,18.29,21.05,1.151,コンタンゴ(順鞘),141.74,注意(140超),2026-05-13,9
2026-05-05,17.38,20.82,1.198,コンタンゴ(順鞘),138.74,通常,2026-05-13,8
2026-05-06,17.39,20.57,1.183,コンタンゴ(順鞘),135.42,通常,2026-05-13,7
2026-05-07,17.08,20.35,1.191,コンタンゴ(順鞘),136.11,通常,2026-05-13,6
2026-05-08,17.19,20.50,1.193,コンタンゴ(順鞘),138.21,通常,2026-05-13,5
2026-05-11,18.38,21.24,1.156,コンタンゴ(順鞘),140.21,注意(140超),2026-05-13,2
2026-05-12,17.99,21.04,1.170,コンタンゴ(順鞘),139.41,通常,2026-05-13,1
2026-05-13,17.87,21.18,1.185,コンタンゴ(順鞘),141.51,注意(140超),2026-05-13,0
2026-05-14,17.26,20.85,1.208,コンタンゴ(順鞘),139.32,通常,2026-06-10,27
2026-05-15,18.43,21.36,1.159,コンタンゴ(順鞘),145.77,警戒(144超),2026-06-10,26
2026-05-18,17.82,20.92,1.174,コンタンゴ(順鞘),138.40,通常,2026-06-10,23
2026-05-19,18.06,21.12,1.169,コンタンゴ(順鞘),135.50,通常,2026-06-10,22
2026-05-20,17.44,20.76,1.190,コンタンゴ(順鞘),132.31,通常,2026-06-10,21
2026-05-21,16.76,20.00,1.193,コンタンゴ(順鞘),136.96,通常,2026-06-10,20
2026-05-22,16.70,20.03,1.199,コンタンゴ(順鞘),137.39,通常,2026-06-10,19
2026-05-26,17.01,19.89,1.169,コンタンゴ(順鞘),139.04,通常,2026-06-10,15
2026-05-27,16.29,19.45,1.194,コンタンゴ(順鞘),138.57,通常,2026-06-10,14
2026-05-28,15.74,19.11,1.214,コンタンゴ(順鞘),139.52,通常,2026-06-10,13
2026-05-29,15.32,18.66,1.218,コンタンゴ(順鞘),144.18,警戒(144超),2026-06-10,12
2026-06-01,16.05,19.43,1.211,コンタンゴ(順鞘),142.46,注意(140超),2026-06-10,9
2026-06-02,15.77,19.49,1.236,コンタンゴ(順鞘),143.24,注意(140超),2026-06-10,8
2026-06-03,16.06,19.76,1.230,コンタンゴ(順鞘),136.86,通常,2026-06-10,7
2026-06-04,15.40,19.23,1.249,コンタンゴ(順鞘),142.15,注意(140超),2026-06-10,6
2026-06-05,21.51,21.82,1.014,コンタンゴ(順鞘),152.25,警戒(144超),2026-06-10,5
2026-06-08,18.92,20.79,1.099,コンタンゴ(順鞘),145.00,警戒(144超),2026-06-10,2
2026-06-09,19.87,21.31,1.072,コンタンゴ(順鞘),141.97,注意(140超),2026-06-10,1
2026-06-10,22.22,22.89,1.030,コンタンゴ(順鞘),143.08,注意(140超),2026-06-10,0
2026-06-11,19.44,21.42,1.102,コンタンゴ(順鞘),142.98,注意(140超),2026-07-08,27
2026-06-12,17.68,20.51,1.160,コンタンゴ(順鞘),142.60,注意(140超),2026-07-08,26
2026-06-15,16.20,19.36,1.195,コンタンゴ(順鞘),144.32,警戒(144超),2026-07-08,23
2026-06-16,16.41,19.53,1.190,コンタンゴ(順鞘),142.66,注意(140超),2026-07-08,22
2026-06-17,18.44,20.62,1.118,コンタンゴ(順鞘),142.62,注意(140超),2026-07-08,21
2026-06-18,16.40,19.57,1.193,コンタンゴ(順鞘),146.72,警戒(144超),2026-07-08,20
2026-06-22,17.28,19.76,1.144,コンタンゴ(順鞘),141.85,注意(140超),2026-07-08,16
2026-06-23,19.49,21.06,1.081,コンタンゴ(順鞘),143.14,注意(140超),2026-07-08,15
2026-06-24,18.63,20.37,1.093,コンタンゴ(順鞘),145.30,警戒(144超),2026-07-08,14
2026-06-25,18.89,20.33,1.076,コンタンゴ(順鞘),139.89,通常,2026-07-08,13
2026-06-26,18.41,20.13,1.093,コンタンゴ(順鞘),139.40,通常,2026-07-08,12
2026-06-29,17.65,19.53,1.107,コンタンゴ(順鞘),144.46,警戒(144超),2026-07-08,9
2026-06-30,16.45,19.00,1.155,コンタンゴ(順鞘),149.60,警戒(144超),2026-07-08,8
2026-07-01,16.59,19.16,1.155,コンタンゴ(順鞘),154.82,警戒(144超),2026-07-08,7
2026-07-02,16.15,19.04,1.179,コンタンゴ(順鞘),150.02,警戒(144超),2026-07-08,6
2026-07-06,15.57,18.78,1.206,コンタンゴ(順鞘),145.38,警戒(144超),2026-07-08,2
2026-07-07,16.13,19.01,1.179,コンタンゴ(順鞘),145.74,警戒(144超),2026-07-08,1
2026-07-08,16.90,19.46,1.151,コンタンゴ(順鞘),149.79,警戒(144超),2026-07-08,0
2026-07-09,15.84,18.99,1.199,コンタンゴ(順鞘),144.67,警戒(144超),2026-08-12,34
2026-07-10,15.03,18.57,1.236,コンタンゴ(順鞘),144.27,警戒(144超),2026-08-12,33
2026-07-13,17.16,19.64,1.145,コンタンゴ(順鞘),145.69,警戒(144超),2026-08-12,30
2026-07-14,16.50,19.30,1.170,コンタンゴ(順鞘),145.13,警戒(144超),2026-08-12,29
2026-07-15,15.67,18.91,1.207,コンタンゴ(順鞘),148.51,警戒(144超),2026-08-12,28
2026-07-16,16.73,19.50,1.166,コンタンゴ(順鞘),145.72,警戒(144超),2026-08-12,27
2026-07-17,18.77,20.54,1.094,コンタンゴ(順鞘),147.28,警戒(144超),2026-08-12,26
2026-07-20,18.65,20.40,1.094,コンタンゴ(順鞘),146.05,警戒(144超),2026-08-12,23
2026-07-21,17.05,19.59,1.149,コンタンゴ(順鞘),151.66,警戒(144超),2026-08-12,22
2026-07-22,16.64,19.54,1.174,コンタンゴ(順鞘),150.19,警戒(144超),2026-08-12,21
2026-07-23,18.70,20.60,1.102,コンタンゴ(順鞘),145.95,警戒(144超),2026-08-12,20
2026-07-24,18.58,20.51,1.104,コンタンゴ(順鞘),147.28,警戒(144超),2026-08-12,19
2026-07-27,18.67,20.20,1.082,コンタンゴ(順鞘),146.60,警戒(144超),2026-08-12,16
2026-07-28,18.21,19.86,1.091,コンタンゴ(順鞘),142.98,注意(140超),2026-08-12,15
2026-07-29,20.66,21.50,1.041,コンタンゴ(順鞘),139.55,通常,2026-08-12,14
2026-07-30,17.09,19.50,1.141,コンタンゴ(順鞘),139.90,通常,2026-08-12,13
2026-07-31,15.99,19.02,1.189,コンタンゴ(順鞘),141.23,注意(140超),2026-08-12,12
2026-08-03,15.86,18.93,1.194,コンタンゴ(順鞘),139.96,通常,2026-08-12,9
2026-08-04,16.50,19.34,1.172,コンタンゴ(順鞘),126.41,通常,2026-08-12,8
2026-08-05,15.81,18.95,1.199,コンタンゴ(順鞘),133.32,通常,2026-08-12,7
2026-08-06,15.15,18.69,1.234,コンタンゴ(順鞘),134.73,通常,2026-08-12,6
2026-08-07,14.90,18.72,1.256,コンタンゴ(順鞘),132.57,通常,2026-08-12,5
2026-08-08,14.90,18.69,1.254,コンタンゴ(順鞘),134.73,通常,2026-08-12,4
2026-08-10,14.90,18.72,1.256,コンタンゴ(順鞘),132.57,通常,2026-08-12,2
2026-08-11,14.90,18.72,1.256,コンタンゴ(順鞘),132.57,通常,2026-08-12,1
2026-08-12,15.43,18.98,1.230,コンタンゴ(順鞘),137.13,通常,2026-08-12,0
2026-08-13,15.40,18.91,1.228,コンタンゴ(順鞘),136.54,通常,2026-09-09,27
2026-08-14,14.65,18.53,1.265,コンタンゴ(順鞘),136.54,通常,2026-09-09,26
